,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
700585,10799625.00,1,,,3,3,,4,3,,,1516,1516,,,,,6037,,3,,,,2,34174200,-118532000,197423,1,,,,1,010C,266,LAR3,60371393.03,12447,3101,47950,96379,0,,,,1,,,1975,,,160662,277328,2015,116666,3405.68,,,6.03714E+13
213498,11925276.00,,,,2,3,,7,2,,,1600,1600,,,,,6037,,2,,,,7,34117714,-118067562,7081,,,,,,100,261,TCR172,60374800.12,14111,3101,,96514,0,,,,1,,,1947,,,97667,197285,2015,99618,2577.22,,,6.03748E+13
222086,14617906.00,,,,2.5,2,,,2.5,,,1234,1234,,,,,6059,,2,2,0,,,33628475,-117830339,,,,,,,1,266,,60590626.04,52650,1286,275784,96940,0,,1,,,,,2004,,,149983,493165,2015,343182,7380.7,,,6.05906E+13
351492,12933620.00,1,,,2,3,,4,2,,,2226,2226,,,,,6037,,2,,,,2,34081945,-117847796,11197,,,,,,100,261,CVR110000*,60374036,24245,3101,,96475,0,,,,1,,,1968,,,151244,235457,2015,84213,3066.49,,,6.0374E+13
61559,10930378.00,1,,,1,1,,4,1,,,933,933,,,,,6037,,1,,,,2,34158100,-118364000,33669,,,,,,010C,266,LAR3,60371255.02,12447,3101,27431,96447,0,,,,1,,,1965,,,133981,240372,2015,106391,2995.1,,,6.03713E+13
77842,11430082.00,,,,2,4,,7,2,,,1370,1370,,,,,6037,,2,,,,2,33910690,-118312479,5598,,,,,,100,261,GAR1,60376026,45398,3101,,96106,0,,,,1,,,1956,,,76539,170145,2015,93606,2338.61,,,6.0376E+13
948273,14105849.00,,,,1,2,,,1,,,816,816,,,,,6059,,1,1,270,,,33821395,-117905244,5996,,,,,,122,261,,60590874.05,16764,1286,275470,97024,5,,,,,,,1950,1,,36922,166244,2015,129322,2233.74,,,6.05909E+13
355782,14630242.00,,,,2.5,2,,,2.5,,,1211,1211,,,,,6059,,2,2,0,,,33732318,-117775028,,,,,,,1,266,,60590524.2,52650,1286,274371,96939,0,,1,,,,,2001,,,165393,371210,2015,205817,5162.22,,,6.05905E+13
519052,14746749.00,,,,1,1,,,1,,,1025,1025,,,,,6059,,1,2,0,,,33662600,-118008000,,,,,,,34,266,,60590993.11,25218,1286,,96966,0,,,,,,,1987,,,116451,326752,2015,210301,3951.6,,,6.0591E+13
1017098,12057767.00,1,,,4,6,,1,4,,,3225,3225,,,,,6037,,4,,,,2,34175574,-118261867,21071,,,,,,100,261,GLR1,60373007.02,45457,3101,273059,96321,0,,,,1,,,1961,,,217522,670757,2015,453235,7522.78,,,6.0373E+13
